dtmn;nuts1_dsg;nuts1_cod;nuts2_dsg;nuts2_cod;nuts3_dsg;nuts3_cod;distrito_ilha_dsg;município_dsg;area_ha;area_km2;perim_km;altitude_max_m;altitude_min_m
"1823";Continente;"1";Centro;"19";Viseu Dão Lafões;"194";Viseu;Viseu;50710.14;507.1;123;899;200
"1824";Continente;"1";Centro;"19";Viseu Dão Lafões;"194";Viseu;Vouzela;19369.46;193.69;76;1043;125
"3101";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;Calheta;11151.13;111.51;63;1640;0
"3102";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;Câmara de Lobos;5216.73;52.17;46;1862;0
"3103";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;Funchal;7622.19;76.22;84;1818;0
"3104";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;Machico;6825.22;68.25;107;1480;0
"3105";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;Ponta do Sol;4626.44;46.26;34;1620;0
"3106";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;Porto Moniz;8292.49;82.92;57;1640;0
"3107";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;Ribeira Brava;6545.66;65.46;42;1725;0
"3108";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;Santa Cruz;8131.03;81.31;106;1415;0
"3109";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;Santana;9547.07;95.47;56;1862;0
"3110";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha da Madeira;São Vicente;7883.9;78.84;41;1725;0
"3201";Região Autónoma da Madeira;"3";Região Autónoma da Madeira;"30";Região Autónoma da Madeira;"300";Ilha de Porto Santo;Porto Santo;4268.21;42.68;107;517;0
"4101";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha de Santa Maria;Vila do Porto;9688.74;96.89;78;587;0
"4201";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha de São Miguel;Lagoa;4559.32;45.59;45;947;0
"4202";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha de São Miguel;Nordeste;10146.8;101.47;53;1103;0
"4203";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha de São Miguel;Ponta Delgada;23298.65;232.99;102;873;0
"4204";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha de São Miguel;Povoação;10640.77;106.41;64;1103;0
"4205";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha de São Miguel;Ribeira Grande;18015.13;180.15;120;877;0
"4206";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha de São Miguel;Vila Franca do Campo;7796.82;77.97;58;947;0
"4301";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha Terceira;Angra do Heroísmo;23899.66;239;105;1021;0
"4302";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha Terceira;Praia da Vitória;16127.06;161.27;90;808;0
"4401";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha da Graciosa;Santa Cruz da Graciosa;6065.78;60.66;44;402;0
"4501";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha de São Jorge;Calheta de São Jorge;12626.4;126.26;74;942;0
"4502";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha de São Jorge;Velas;11738.38;117.38;79;1053;0
"4601";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha do Pico;Lajes do Pico;15531.09;155.31;96;2351;0
"4602";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha do Pico;Madalena;14712.33;147.12;65;2351;0
"4603";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha do Pico;São Roque do Pico;14236.1;142.36;82;2351;0
"4701";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha do Faial;Horta;17305.53;173.06;80;1043;0
"4801";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha das Flores;Lajes das Flores;7004.79;70.05;51;830;0
"4802";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha das Flores;Santa Cruz das Flores;7091.44;70.91;52;914;0
"4901";Região Autónoma dos Açores;"2";Região Autónoma dos Açores;"20";Região Autónoma dos Açores;"200";Ilha do Corvo;Corvo;1711.45;17.11;21;718;0
